I-iSQI,I-bSQI,I-pSQI,I-sSQI,I-kSQI,I-fSQI,II-iSQI,II-bSQI,II-pSQI,II-sSQI,II-kSQI,II-fSQI,III-iSQI,III-bSQI,III-pSQI,III-sSQI,III-kSQI,III-fSQI,AVR-iSQI,AVR-bSQI,AVR-pSQI,AVR-sSQI,AVR-kSQI,AVR-fSQI,AVL-iSQI,AVL-bSQI,AVL-pSQI,AVL-sSQI,AVL-kSQI,AVL-fSQI,AVF-iSQI,AVF-bSQI,AVF-pSQI,AVF-sSQI,AVF-kSQI,AVF-fSQI,V1-iSQI,V1-bSQI,V1-pSQI,V1-sSQI,V1-kSQI,V1-fSQI,V2-iSQI,V2-bSQI,V2-pSQI,V2-sSQI,V2-kSQI,V2-fSQI,V3-iSQI,V3-bSQI,V3-pSQI,V3-sSQI,V3-kSQI,V3-fSQI,V4-iSQI,V4-bSQI,V4-pSQI,V4-sSQI,V4-kSQI,V4-fSQI,V5-iSQI,V5-bSQI,V5-pSQI,V5-sSQI,V5-kSQI,V5-fSQI,V6-iSQI,V6-bSQI,V6-pSQI,V6-sSQI,V6-kSQI,V6-fSQI,label
2.000000e-01,1.000000e-01,5.067088e-01,-1.434603e-01,1,1.380276e-02,2.000000e-01,1.111111e-01,3.775688e-01,4.504115e-01,0,1.340268e-02,0,0,2.826557e-01,1.838715e-01,1,6.801360e-03,2.000000e-01,1.000000e-01,4.820121e-01,-2.580122e-01,0,1.020204e-02,0,0,2.676630e-01,3.957512e-01,0,8.801760e-03,2.000000e-01,1.000000e-01,4.507807e-01,-3.655186e-01,1,7.801560e-03,2.000000e-01,1.111111e-01,7.089842e-01,-1.481106e-01,1,8.601720e-03,0,1.000000e-01,1.348032e+00,3.740886e-01,1,1.280256e-02,2.000000e-01,1.111111e-01,3.607318e-01,-1.912674e-01,1,7.001400e-03,2.000000e-01,1.000000e-01,9.549398e-01,-2.784488e-01,1,6.801360e-03,2.000000e-01,1.111111e-01,1.186909e+00,6.343118e-03,1,1.800360e-02,2.000000e-01,1.111111e-01,1.041246e+00,-6.671076e-02,1,1.540308e-02,1
2.500000e-01,1.538462e-01,8.013372e-01,-2.130370e-01,1,7.601520e-03,1.111111e-01,1.538462e-01,7.094440e-01,-2.113461e+00,1,1.280256e-02,1.111111e-01,1.538462e-01,9.270122e-01,-5.839004e-01,1,8.601720e-03,2.500000e-01,1.538462e-01,8.022898e-01,1.134354e+00,1,1.700340e-02,1.111111e-01,1.538462e-01,7.269003e-01,-1.038824e+00,1,7.201440e-03,1.111111e-01,1.538462e-01,8.329213e-01,2.864043e-01,1,7.001400e-03,1.111111e-01,1.538462e-01,1.130276e+00,-1.431647e+00,1,3.140628e-02,2.500000e-01,1.538462e-01,8.873467e-01,-2.931612e+00,1,1.640328e-02,2.500000e-01,1.538462e-01,9.111600e-01,-3.303099e+00,1,1.760352e-02,2.500000e-01,1.538462e-01,9.716840e-01,-2.985730e+00,1,1.660332e-02,2.500000e-01,1.538462e-01,9.748544e-01,-2.725735e+00,1,1.660332e-02,2.500000e-01,1.538462e-01,9.800718e-01,-2.391155e+00,1,1.620324e-02,1
2.500000e-01,1.875000e-01,1.047573e+00,4.722846e-01,1,1.000200e-02,1.538462e-01,1.875000e-01,1.349114e+00,-7.339767e-01,1,1.640328e-02,1.538462e-01,1.875000e-01,9.475213e-01,-2.534459e-01,1,1.240248e-02,2.500000e-01,1.875000e-01,1.089592e+00,-2.245605e-01,1,1.120224e-02,1.538462e-01,1.875000e-01,7.229586e-01,1.153809e+00,1,1.640328e-02,0,1.875000e-01,1.021867e+00,5.192483e-01,1,8.401680e-03,1.538462e-01,1.875000e-01,1.345434e+00,-3.692746e-01,1,1.300260e-02,2.500000e-01,1.875000e-01,1.009490e+00,-2.775530e+00,1,7.801560e-03,2.500000e-01,1.875000e-01,1.170871e+00,-2.027936e+00,1,8.801760e-03,2.500000e-01,1.875000e-01,1.365431e+00,-1.440202e+00,1,1.780356e-02,2.500000e-01,1.875000e-01,1.343100e+00,-9.421648e-01,1,2.480496e-02,2.500000e-01,1.875000e-01,9.422912e-01,-9.578138e-01,1,2.440488e-02,1
4.000000e-01,1.818182e-01,7.978847e-01,1.284800e+00,1,5.801160e-02,4.000000e-01,1.818182e-01,7.244364e-01,1.709557e+00,1,2.560512e-02,4.000000e-01,2.000000e-01,9.356452e-01,1.905899e+00,1,2.960592e-02,4.000000e-01,1.818182e-01,5.570068e-01,-1.584274e+00,1,4.180836e-02,1.666667e-01,2.000000e-01,8.278875e-01,1.811211e+00,1,2.640528e-02,4.000000e-01,1.818182e-01,1.227568e+00,-8.113345e-01,1,5.781156e-02,4.000000e-01,2.000000e-01,6.260856e-01,1.395276e-01,1,4.340868e-02,4.000000e-01,2.000000e-01,6.452729e-01,4.238912e-01,1,1.420284e-02,4.000000e-01,1.818182e-01,6.254358e-01,3.684497e-01,1,1.300260e-02,4.000000e-01,1.818182e-01,6.318192e-01,7.171380e-01,1,1.400280e-02,4.000000e-01,1.818182e-01,4.799816e-01,1.039597e+00,1,2.100420e-02,4.000000e-01,1.818182e-01,4.673597e-01,1.213521e+00,1,4.040808e-02,1
1.250000e-01,2.500000e-01,1.066596e+00,2.391055e-02,1,5.801160e-03,1.250000e-01,2.500000e-01,1.380108e+00,8.996713e-02,1,7.201440e-03,2.000000e-01,2.500000e-01,5.059593e-01,1.611661e-01,1,5.001000e-03,5.882353e-02,2.500000e-01,8.404307e-01,-1.524030e-01,1,6.401280e-03,2.000000e-01,2.500000e-01,9.457597e-01,9.852798e-02,1,6.401280e-03,5.882353e-02,2.500000e-01,4.925667e-01,-3.425108e-01,0,6.601320e-03,2.000000e-01,2.500000e-01,1.426603e+00,-1.925931e-02,0,5.801160e-03,5.882353e-02,2.500000e-01,1.350631e+00,-1.761716e-01,1,8.401680e-03,2.000000e-01,2.500000e-01,1.364841e+00,-1.273945e-01,0,9.001800e-03,5.882353e-02,2.500000e-01,1.265328e+00,-8.491492e-01,1,1.280256e-02,5.882353e-02,2.500000e-01,1.254869e+00,-1.511480e+00,1,1.480296e-02,0,0,1.155274e+00,-1.274456e+00,1,2.080416e-01,-1
3.333333e-01,1.538462e-01,8.138689e-01,-1.031938e+00,1,1.320264e-02,3.333333e-01,1.538462e-01,1.031520e+00,1.338184e+00,1,1.460292e-02,1.428571e-01,1.538462e-01,1.040533e+00,1.332666e+00,1,1.240248e-02,1.428571e-01,1.538462e-01,8.947257e-01,-8.760597e-01,1,1.220244e-02,3.333333e-01,1.538462e-01,1.053536e+00,1.433049e+00,1,1.740348e-02,3.333333e-01,1.538462e-01,9.118016e-01,-1.118354e+00,1,1.340268e-02,3.333333e-01,1.538462e-01,9.334732e-01,-1.218292e+00,1,2.740548e-02,3.333333e-01,1.538462e-01,7.710770e-01,-8.917185e-01,1,1.000200e-02,3.333333e-01,1.538462e-01,6.926049e-01,-1.625275e+00,1,9.401880e-03,3.333333e-01,1.538462e-01,1.046240e+00,-9.403492e-01,1,1.060212e-02,3.333333e-01,1.538462e-01,1.056359e+00,-2.075002e-01,1,1.080216e-02,3.333333e-01,1.538462e-01,1.065399e+00,2.459933e-02,1,1.440288e-02,1
4.000000e-01,2.222222e-01,6.253542e-01,-4.671686e-01,1,1.580316e-02,4.000000e-01,2.222222e-01,9.254819e-01,-6.806903e-01,1,1.340268e-02,4.000000e-01,2.222222e-01,1.483942e-01,3.046014e-01,1,1.100220e-02,4.000000e-01,2.222222e-01,7.060844e-01,6.676653e-01,1,2.000400e-02,4.000000e-01,2.222222e-01,2.669906e-01,-2.057749e-01,0,8.601720e-03,1.666667e-01,2.222222e-01,4.749423e-01,-2.016447e-01,1,9.401880e-03,4.000000e-01,2.222222e-01,8.254919e-01,-1.463972e+00,1,1.480296e-02,4.000000e-01,2.222222e-01,1.140267e-01,-4.945805e-01,1,1.020204e-02,4.000000e-01,2.222222e-01,4.975395e-01,-1.383675e+00,1,1.040208e-02,4.000000e-01,2.222222e-01,7.070164e-01,-1.921281e+00,1,1.240248e-02,4.000000e-01,2.222222e-01,7.929921e-01,-1.581356e+00,1,1.720344e-02,4.000000e-01,2.222222e-01,7.969667e-01,-1.275836e+00,1,2.220444e-02,1
2.857143e-01,1.818182e-01,1.233823e+00,-9.313217e-01,1,1.980396e-02,2.857143e-01,1.818182e-01,1.167813e+00,-7.817504e-01,1,9.201840e-03,2.857143e-01,1.818182e-01,6.896023e-01,3.114334e-01,1,7.401480e-03,2.857143e-01,1.818182e-01,1.247358e+00,5.683387e-01,1,1.400280e-02,2.857143e-01,1.818182e-01,9.604115e-01,-5.601431e-01,1,7.401480e-03,1.250000e-01,1.818182e-01,7.223020e-01,-9.048210e-01,1,1.120224e-02,1.250000e-01,1.818182e-01,1.558796e+00,1.070923e+00,1,2.040408e-02,2.857143e-01,1.818182e-01,1.317687e+00,7.315482e-01,1,1.620324e-02,2.857143e-01,1.818182e-01,1.078258e+00,-2.850812e+00,1,1.460292e-02,2.857143e-01,1.818182e-01,1.094001e+00,-2.085569e+00,1,2.400480e-02,2.857143e-01,1.818182e-01,1.210559e+00,-1.511431e+00,1,1.760352e-02,2.857143e-01,1.818182e-01,1.305760e+00,-1.045762e+00,1,2.140428e-02,1
0,0,1.155274e+00,-1.274456e+00,1,2.080416e-01,0,0,1.155274e+00,-1.274456e+00,1,2.080416e-01,0,0,0,0,0,1,0,0,1.155274e+00,1.274456e+00,1,2.080416e-01,0,0,1.155274e+00,-1.274456e+00,1,2.718544e-01,0,0,1.155274e+00,-1.274456e+00,1,2.718544e-01,0,0,1.155274e+00,-1.274456e+00,1,2.080416e-01,0,0,1.155274e+00,-1.274456e+00,1,2.080416e-01,0,0,1.155274e+00,-1.274456e+00,1,2.080416e-01,0,0,1.155274e+00,-1.274456e+00,1,2.080416e-01,0,0,1.155274e+00,-1.274456e+00,1,2.080416e-01,0,0,1.155274e+00,-1.274456e+00,1,2.080416e-01,-1
2,2.222222e-01,6.434681e-01,-6.753202e-02,1,1.660332e-02,0,0,1.009103e-01,-1.030694e+00,1,4.600920e-03,2,0,1.008305e-01,-1.029876e+00,1,3.400680e-03,2,0,1.010042e-01,1.031496e+00,1,7.401480e-03,2,0,1.008726e-01,-1.030277e+00,1,4.200840e-03,5.000000e-01,0,1.007784e-01,1.029015e+00,1,4.800960e-03,0,0,1.270596e-01,-3.217468e-01,1,6.201240e-03,0,0,1.269577e-01,-3.196196e-01,1,6.801360e-03,0,0,1.318698e-01,-3.606941e-01,1,6.801360e-03,0,0,1.368021e-01,-3.807312e-01,1,7.001400e-03,0,0,1.364157e-01,-3.851867e-01,1,7.201440e-03,0,0,1.364864e-01,-3.770673e-01,1,6.601320e-03,-1
1.000000e-01,1.538462e-01,6.028139e-01,1.713115e-01,0,1.680336e-02,2.222222e-01,1.538462e-01,1.023979e+00,-1.052245e+00,1,1.440288e-02,2.222222e-01,1.538462e-01,1.660059e+00,2.203326e-01,1,8.201640e-03,0,1.538462e-01,9.386719e-01,1.460198e+00,1,1.240248e-02,2.222222e-01,1.538462e-01,1.298899e+00,-9.163088e-02,1,1.020204e-02,2.222222e-01,1.538462e-01,1.359270e+00,-2.203569e-01,1,1.280256e-02,2.222222e-01,1.538462e-01,4.832544e-01,-3.337707e-01,0,1.240248e-02,0,1.538462e-01,8.240969e-01,-9.102392e-02,0,1.340268e-02,1.000000e-01,1.538462e-01,9.004351e-01,-2.599620e-01,0,9.401880e-03,2.222222e-01,1.538462e-01,1.108221e+00,-1.922800e+00,1,1.100220e-02,2.222222e-01,1.538462e-01,1.238163e+00,-2.599147e+00,1,1.740348e-02,2.222222e-01,1.538462e-01,1.269297e+00,-2.295996e+00,1,1.920384e-02,1
1.250000e-01,1.578947e-01,1.326472e+00,1.066317e+00,1,5.201040e-03,1.250000e-01,1.578947e-01,1.316619e+00,9.265432e-01,1,6.401280e-03,5.882353e-02,1.578947e-01,1.197913e+00,6.947702e-01,1,2.000400e-03,1.250000e-01,1.578947e-01,1.242247e+00,-1.053372e+00,1,8.401680e-03,1.250000e-01,1.578947e-01,1.360485e+00,7.838751e-01,1,5.001000e-03,5.882353e-02,1.578947e-01,1.386521e+00,6.879308e-01,1,4.200840e-03,0,0,1.155274e+00,-1.274456e+00,1,2.080416e-01,0,0,1.155274e+00,-1.274456e+00,1,2.080416e-01,2.000000e-01,1.578947e-01,1.343409e+00,3.629080e-01,1,4.000800e-03,1.250000e-01,1.578947e-01,3.348655e-01,2.431927e-01,0,1.400280e-03,2.000000e-01,1.739130e-01,1.712619e-01,1.411498e-01,0,1.400280e-03,1.250000e-01,1.578947e-01,3.021283e-01,2.184704e-01,0,1.000200e-03,-1
1.538462e-01,2.142857e-01,1.025562e+00,-8.477649e-02,1,1.100220e-02,1.538462e-01,2.142857e-01,6.223107e-01,-3.537738e-01,1,1.140228e-02,7.142857e-02,2.142857e-01,2.929589e-01,-8.753512e-03,0,1.000200e-02,1.538462e-01,2.142857e-01,1.190158e+00,2.400246e-01,1,1.560312e-02,7.142857e-02,2.142857e-01,1.517851e-01,-2.163086e-01,0,1.080216e-02,7.142857e-02,1.333333e-01,6.785204e-01,2.340917e-02,1,7.001400e-03,2.500000e-01,2.142857e-01,8.276928e-01,-8.132617e+00,1,1.980396e-02,2.500000e-01,2.142857e-01,1.013693e+00,2.849478e-01,0,1.600320e-02,2.500000e-01,2.142857e-01,1.344334e+00,-3.246489e-01,1,1.720344e-02,2.500000e-01,2.142857e-01,1.116867e+00,-2.657398e-01,1,1.020204e-02,2.500000e-01,2.142857e-01,1.349157e+00,-1.285166e+00,1,1.620324e-02,2.500000e-01,2.142857e-01,1.269875e+00,-1.289885e+00,1,1.700340e-02,1
0,0,1.155274e+00,-1.274456e+00,1,2.080416e-01,0,0,1.155274e+00,-1.274456e+00,1,2.080416e-01,0,0,0,0,0,1,0,0,1.155274e+00,1.274456e+00,1,2.080416e-01,0,0,1.155274e+00,-1.274456e+00,1,2.718544e-01,0,0,1.155274e+00,-1.274456e+00,1,2.718544e-01,0,0,1.155274e+00,-1.274456e+00,1,2.080416e-01,0,0,1.155274e+00,-1.274456e+00,1,2.080416e-01,0,0,1.155274e+00,-1.274456e+00,1,2.080416e-01,0,0,1.155274e+00,-1.274456e+00,1,2.080416e-01,0,0,1.155274e+00,-1.274456e+00,1,2.080416e-01,0,0,1.155274e+00,-1.274456e+00,1,2.080416e-01,-1
3.333333e-01,1.428571e-01,9.236890e-01,-2.970224e-01,1,9.801960e-03,3.333333e-01,1.428571e-01,8.377679e-01,6.356577e-01,1,1.340268e-02,3.333333e-01,1.428571e-01,8.193678e-01,-8.884324e-02,1,1.060212e-02,3.333333e-01,1.428571e-01,8.099708e-01,-1.879481e-01,1,9.601920e-03,3.333333e-01,1.428571e-01,6.568090e-01,-1.488355e+00,1,1.060212e-02,0,1.428571e-01,1.090925e+00,-4.439488e-01,1,1.380276e-02,3.333333e-01,1.428571e-01,8.727031e-01,-9.633575e-01,1,2.260452e-02,3.333333e-01,1.428571e-01,1.133707e+00,-1.962977e+00,1,2.500500e-02,3.333333e-01,1.428571e-01,9.672208e-01,-9.678038e-01,1,2.200440e-02,3.333333e-01,1.428571e-01,1.066124e+00,-2.282637e+00,1,1.020204e-02,3.333333e-01,1.428571e-01,8.930218e-01,-4.653875e-01,1,1.760352e-02,3.333333e-01,1.428571e-01,7.802711e-01,-4.204484e-01,1,1.580316e-02,1
2.857143e-01,1.666667e-01,9.369278e-01,1.216626e-01,1,6.201240e-03,2.857143e-01,1.666667e-01,1.146666e+00,3.478319e-01,1,4.600920e-03,2.857143e-01,1.666667e-01,8.000346e-01,1.023395e+00,1,1.180236e-02,2.857143e-01,1.666667e-01,1.026814e+00,-5.271091e-01,1,6.401280e-03,2.857143e-01,1.666667e-01,1.003746e+00,2.786966e-01,1,6.001200e-03,2.857143e-01,1.666667e-01,9.794407e-01,-2.354883e+00,1,9.601920e-03,1.250000e-01,1.666667e-01,1.162976e+00,-1.704948e+00,1,7.401480e-03,2.857143e-01,1.666667e-01,6.826426e-01,-1.140598e+00,1,8.201640e-03,2.857143e-01,1.666667e-01,5.591605e-01,-1.280840e+00,1,6.401280e-03,2.857143e-01,1.666667e-01,5.376732e-01,-1.572081e+00,1,1.080216e-02,2.857143e-01,1.538462e-01,1.128550e+00,6.351098e+00,1,4.000800e-03,2.857143e-01,1.666667e-01,1.054159e+00,6.008365e-01,1,1.600320e-03,1
